"","Parcela","Arv","cap","alt","obs"
"1",14,1,"41,5","","ocorrencia de pau jacaré e subbosque denso"
"2",14,2,"69","",""
"3",14,3,"58","",""
"4",14,4,"64,4","",""
"5",14,5,"74,3","",""
"6",14,6,"65,4","",""
"7",14,7,"57,5","",""
"8",14,8,"56,8","",""
"9",14,9,"39,3","",""
"10",14,10,"65,2","",""
"11",14,11,"50","",""
"12",14,12,"69,4","",""
"13",14,13,"69","",""
"14",14,14,"39,1","",""
"15",14,15,"52,5","26,25",""
"16",14,16,"50,5","26,5",""
"17",14,17,"64,2","31",""
"18",14,18,"45","",""
"19",14,19,"56,7","",""
"20",14,20,"60","",""
"21",14,21,"71,1","",""
"22",14,22,"54","",""
"23",14,23,"55,5","",""
"24",14,24,"24,4","",""
"25",14,25,"17","",""
"26",14,26,"71,5","28",""
"27",14,27,"78,5","32,25",""
"28",14,28,"44,8","27",""
"29",14,29,"50,3","29,25",""
"30",14,30,"43,2","",""
"31",14,31,"58,5","",""
"32",14,32,"49,2","",""
"33",14,33,"64","31,5",""
"34",14,34,"49,7","",""
"35",14,35,"39,9","",""
"36",14,36,"75,5","",""
"37",14,37,"61,1","",""
"38",14,38,"60,7","",""
"39",14,39,"57,7","",""
"40",14,40,"65,5","31,5",""
"41",14,41,"68,5","32,75",""
"42",14,42,"34,5","30,5",""
"43",14,43,"37,8","",""
"44",14,44,"70,7","34",""
"45",14,45,"39,6","",""
"46",14,46,"84,8","33",""
"47",14,47,"82,7","35,5",""
"48",14,48,"22,5","",""
"49",14,49,"71,3","32,5",""
"50",14,50,"47,7","26",""
"51",14,51,"65,6","34,5",""
"52",14,52,"67","",""
"53",14,53,"57,5","",""
"54",14,54,"","","morta"
"55",14,55,"47,7","",""
"56",14,56,"58,7","",""
"57",9,1,"45,5","",""
"58",9,2,"40,7","",""
"59",9,3,"69","28","torta"
"60",9,4,"43","",""
"61",9,5,"44","",""
"62",9,6,"78,9","",""
"63",9,7,"46,5","",""
"64",9,8,"50,2","",""
"65",9,9,"63","",""
"66",9,10,"62,5","",""
"67",9,11,"40","",""
"68",9,12,"29,3","",""
"69",9,13,"50,2","",""
"70",9,14,"71,5","",""
"71",9,15,"42,8","",""
"72",9,16,"59,3","",""
"73",9,17,"54,4","",""
"74",9,18,"75","",""
"75",9,19,"39,6","",""
"76",9,20,"75,9","34",""
"77",9,21,"61,2","33,75",""
"78",9,22,"48,3","29",""
"79",9,23,"33,7","",""
"80",9,24,"52,3","25,75",""
"81",9,25,"71,3","32,25",""
"82",9,26,"47,7","",""
"83",9,27,"50,9","",""
"84",9,28,"45,5","",""
"85",9,29,"49","",""
"86",9,30,"46,5","",""
"87",9,31,"33,5","",""
"88",9,32,"46,2","",""
"89",9,33,"69,4","37",""
"90",9,34,"42,3","",""
"91",9,35,"48,5","29",""
