Parcela,Arv,cap,alt,obs
14,1,"41,5",,ocorrencia de pau jacaré e subbosque denso
14,2,69,,
14,3,58,,
14,4,"64,4",,
14,5,"74,3",,
14,6,"65,4",,
14,7,"57,5",,
14,8,"56,8",,
14,9,"39,3",,
14,10,"65,2",,
14,11,50,,
14,12,"69,4",,
14,13,69,,
14,14,"39,1",,
14,15,"52,5","26,25",
14,16,"50,5","26,5",
14,17,"64,2",31,
14,18,45,,
14,19,"56,7",,
14,20,60,,
14,21,"71,1",,
14,22,54,,
14,23,"55,5",,
14,24,"24,4",,
14,25,17,,
14,26,"71,5",28,
14,27,"78,5","32,25",
14,28,"44,8",27,
14,29,"50,3","29,25",
14,30,"43,2",,
14,31,"58,5",,
14,32,"49,2",,
14,33,64,"31,5",
14,34,"49,7",,
14,35,"39,9",,
14,36,"75,5",,
14,37,"61,1",,
14,38,"60,7",,
14,39,"57,7",,
14,40,"65,5","31,5",
14,41,"68,5","32,75",
14,42,"34,5","30,5",
14,43,"37,8",,
14,44,"70,7",34,
14,45,"39,6",,
14,46,"84,8",33,
14,47,"82,7","35,5",
14,48,"22,5",,
14,49,"71,3","32,5",
14,50,"47,7",26,
14,51,"65,6","34,5",
14,52,67,,
14,53,"57,5",,
14,54,,,morta
14,55,"47,7",,
14,56,"58,7",,
9,1,"45,5",,
9,2,"40,7",,
9,3,69,28,tortinha
9,4,43,,
9,5,44,,
9,6,"78,9",,
9,7,"46,5",,
9,8,"50,2",,
9,9,63,,
9,10,"62,5",,
9,11,40,,
9,12,"29,3",,
9,13,"50,2",,
9,14,"71,5",,
9,15,"42,8",,
9,16,"59,3",,
9,17,"54,4",,
9,18,75,,
9,19,"39,6",,
9,20,"75,9",34,
9,21,"61,2","33,75",
9,22,"48,3",29,
9,23,"33,7",,
9,24,"52,3","25,75",
9,25,"71,3","32,25",
9,26,"47,7",,
9,27,"50,9",,
9,28,"45,5",,
9,29,49,,
9,30,"46,5",,
9,31,"33,5",,
9,32,"46,2",,
9,33,"69,4",37,
9,34,"42,3",,
9,35,"48,5",29,
9,36,"69,9","36,5",
9,37,"32,8",,
9,38,"68,9",37,
9,39,"59,6",31,
9,40,"42,6",,
9,41,"45,1",,
9,42,68,,
9,43,"64,8",,
9,44,"65,7",,
9,45,"46,1",,
9,46,51,,
9,47,"74,4",38,
9,48,"52,4",31,
9,49,"69,9",35,
9,50,"36,4",,
9,51,60,34,tortinha
9,52,"77,7",36,
9,53,"17,3",,
9,54,"52,9",,
9,55,"53,3",30,
2,1,"74,5","35,5",
2,2,"58,7",,
2,3,"50,2",,
2,4,"71,4",,
2,5,"53,5",,
2,6,"36,7",,
2,7,"77,9",36,
2,8,"31,5",,
2,9,"48,1","27,5",
2,10,"33,4",,
2,11,37,,
2,12,"32,2",16,
2,13,"72,3","37,5",
2,14,"45,7",,
2,15,"23,1","15,75",
2,16,"79,8",38,
2,17,"43,7",28,
2,18,"60,2","29,5",
2,19,"48,8",,
2,20,"73,5",,
2,21,"59,3",,
2,22,90,"39,5",
2,23,"48,3",,
2,24,66,"34,5",
2,25,54,,
2,26,"48,5",,
2,27,"37,3","25,25",
2,28,"42,2","29,5",
2,29,"41,1",,
2,30,"66,2","37,5",
2,31,"72,2","36,5",
2,32,"71,9",39,
2,33,42,,
2,34,"37,6","19,5",
2,35,"52,7",,
2,36,"79,9",,
2,37,"64,8",,
2,38,"59,4",,
2,39,"40,3",,
2,40,"69,2",,
2,41,"50,4",,
2,42,88,,
2,43,56,,
2,44,49,,
2,45,59,,
2,46,"58,1",,
2,47,55,,
2,48,"53,9",,
2,49,"46,4",,
2,50,"48,5",,
2,51,84,,
2,52,59,,
2,53,"46,9",,
2,54,34,,
2,55,77,,
2,56,"49,8",,
1,1,63,"34,75",
1,2,"62,5",,parasitada 
1,3,"44,2",,
1,4,"48,7",,
1,5,"46,8",,
1,6,"66,6","31,5",
1,7,"55,7","30,75",
1,8,"57,5",30,
1,9,"46,2",,ponteira seca
1,10,"51,2",,ponteira seca
1,11,68,"31,5",
1,12,"65,4","31,75",
1,13,"63,7",,
1,14,"77,5","29,25",
1,15,"82,2","32,25",
1,16,"62,3",,
1,17,"68,5",33,
1,18,45,29,
1,19,42,,
1,20,"59,2",35,
1,21,76,37,
1,22,"77,7",,
1,23,"71,4",,
1,24,"68,7",,
1,25,"32,3",,
1,26,68,,
1,27,"27,2",,
1,28,"43,5",,
1,29,"44,7",,
1,30,"35,8",,
1,31,33,,ponteira seca 
1,32,"60,7",,
1,33,63,,tortinha
1,34,"65,2",,
1,35,"70,1",,
1,36,"38,8",,
1,37,"59,3",,ponteira seca e torta
1,38,,,morta
1,39,"53,6",,
1,40,"14,2",,
13,1,44,"21,9",
13,2,"64,5",,
13,3,"57,3",,
13,4,"67,5",,
13,5,"55,4",,bl
13,6,"40,4","15,6",parasitada
13,7,57,"27,7",
13,8,"54,9","29,7",
